"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"S-ribosyl-L-homocysteine-posi","601806.8","613935.7","673434.0","265824.9","377464.9","288229.7"
"cytosine","752017.4","713013.5","787739.4","391826.8","358457.8","357930.0"
"nicotinamide","138184237","123603080","119221582"," 61486552"," 67852507"," 56546405"
"4-Pyridoxic acid","24673109","23983783","28491394"," 9982449","14284428","12856654"
"hydroxyphenylpyruvate","613646.8","601991.0","707980.6","295366.0","290894.2","309326.6"
"Aminoadipic acid","290070.4","333377.4","344508.0","182572.0","125713.4","142180.6"
"xanthine","7229694","8235258","7212094","3206073","4005380","3180205"
"arginine","68653769","60279855","68361739","31642192","29503079","28804404"
"phenylalanine","53085474","54368448","56362525","24795174","24689822","23974967"
"glyoxylate","320787.3","262081.6","211739.9","118530.9","109459.2","127698.0"
"citrulline","4371187","4600990","4262885","1871661","2145709","1897703"
"myo-inositol","21887536","20982744","23925836"," 9606131"," 9896707","10254682"
"2-deoxyglucose-6-phosphate","3205891","3184191","3964322","1486389","1810838","1275673"
"ornithine","3854428","2684245","3518774","1547735","1519935","1350046"
"phosphoenolpyruvate","1492939.7","1797519.0","1133928.4"," 808427.1"," 458180.1"," 667086.8"
"uridine","18657.915","18288.170","20714.739","13478.739"," 9278.772"," 6836.730"
"lysine","26582674","24340328","24722975"," 9868564","11006477"," 9554947"
"NADPH","24661.50","18117.20","60563.66","14534.44","13354.94","19416.18"
"Cellobiose","194523.74","199106.30","189043.47"," 85831.91"," 78064.00"," 59804.72"
"Xanthurenic acid","315069.26","321226.98","345316.11"," 98533.57","118132.97","142754.92"
"Taurodeoxycholic acid","1071067.7"," 902239.6"," 886207.0"," 260995.5"," 406304.3"," 342697.6"
"allantoin","2607017.0","2660644.3","2932790.1"," 918926.4"," 990619.2"," 895925.2"
"uracil","10026420","11647926","11307599"," 3381442"," 3665471"," 3256795"
"2-oxo-4-methylthiobutanoate","1403928.8","1177784.8","1449359.1"," 343497.8"," 429827.8"," 460232.4"
"purine","1655570.8","1531028.0","1634460.3"," 503987.5"," 512045.9"," 429935.8"
"Phenyllactic acid","477113.5","441182.0","573758.9","148801.3","156846.7","138195.9"
"Atrolactic acid","58072.67","62058.10","89093.65","21767.15","16617.08","22502.85"
"Kynurenic acid","969946.9","949038.6","984191.2","267671.7","289327.3","258384.3"
"Hydroxyisocaproic acid","6478976","5195370","4786047","1361723","1852261","1089863"
"indole","768197.9","858191.0","771782.4","225146.3","182052.3","199819.9"
"tryptophan"," 9667343"," 7886061","11625278"," 2191760"," 2283964"," 2010744"
"trans, trans-farnesyl diphosphate","28802.670","52805.522","29908.746"," 9318.643"," 5326.876","14801.370"
"Ascorbic acid","7987401","7193248","7310022","1267042","1271020","1286589"
"GTP-nega","881965.30","782690.68","490420.21"," 18689.77","329603.34"," 12247.58"
