"","LFC"
"Tdo2",0.455137381776127
"Cyp2d22",0.274943680071445
"Kynu",0.195258030660274
"Kyat3",0.151826848528489
"Afmid",0.126759286992351
"Acmsd",0.0974671591997476
"Ido1",0.0952515121284181
"Ido2",0.0810132826776107
"Aadat",0.0318244788779811
"Tph2",0.0249296341232288
"Kyat1",0.0205803969217229
"Kmo",0.013330703556675
"Haao",-0.000428427869246129
"Qprt",-0.00652040021189215
"Aldh8a1",-0.0660616239178404
"Il4i1",-0.0838442483494584
"Got2",-0.242406644526452
