"","WT-3","WT-4","WT-5","WT-6","KO-1","KO-2","KO-5","KO-6"
"Alanine_116_3.3",25.7259821308311,21.5479588618862,23.1422749224795,19.5548348818857,38.3264920254165,38.5598815898201,28.2286360010635,24.5097151315432
"valine_144_4.30",5.04891123782158,5.03132661261609,5.39130571932381,4.27089969643382,7.8744767146509,8.03975458340018,6.12057077018523,5.65889795209692
"leucine_158_4.88",4.669528128227,4.98334231915608,5.08308492080766,4.51004878947944,7.50235121853157,7.84281593452329,6.07855623504387,5.51654615191698
"isolucine_158_5.13",5.62289169248268,6.24502304100587,6.89599480147502,6.39300012096565,10.3280133222134,9.77561997354537,7.77231232828148,7.07940293900486
"glycine2_174_5.24_ok",21.1653272272857,18.4556320763354,23.573689407059,20.9942454911493,26.8259554966355,26.626193712032,22.8264158468492,18.5048536197393
"proline_142_5.45",12.2329098011045,9.2166261456924,18.1494323576636,10.6827819795741,24.708908007726,20.8228357300902,18.430701054684,17.0106332417269
"urea_189_5.47",0.063975815262126,0.0457514012797168,0.0463009403399861,0.0561626239177894,0.0487901615562866,0.0522857220690302,0.0290835770628379,0.0380678121267711
"serine_204_5.76",0.920522605845643,1.15541234753771,1.10850974565712,1.10598895180383,1.13973382739258,1.09147428543755,0.895568554462466,0.730447409912082
"succinic_acid_247_5.88",0.178607880991933,0.155152945484878,0.192345424320138,0.172145642644424,0.241179874330018,0.230754562212261,0.254599840467961,0.219953594660054
"threonine_219_5.92",6.06722040138284,5.84330081482763,6.71739013857476,6.23796823787607,8.55637627102989,8.59577391888661,6.45458211468581,5.37149701943026
"alanine_beta_248_6.36",0.103952468609228,0.0954955596472132,0.13063186683196,0.116795216672523,0.131880132678813,0.141553437436625,0.264916245679341,0.191457980017292
"fumaric_acid_245_5.98",0.466651700863527,0.394789579158317,0.527738610088545,0.523147641457809,0.55947319665206,0.445049140830021,0.600691305503855,0.50742117142792
"uracil_241_6.33",0.00575884104820485,0.00558477360812997,0.00598713617422629,0.0041589143044763,0.00275463384287721,0.00349903292299403,0.0041035185677568,0.0029428632059671
"malic_acid_233_7.13",1.18769810981906,1.18706957061331,1.44171374675486,1.24488632108892,0.752096537148166,0.69126482775738,1.10443144553753,1.08048327496128
"prolin-4-hydroxy_230_7.3",0.0929077058920367,0.0827492548548874,0.104254399661844,0.0890537605916948,0.194807488040162,0.149495878950411,0.148639546219977,0.143253249338382
"threonic_acid_292_7.5",0.0777323815082536,0.0670376285566056,0.114348622927135,0.0754595254690299,0.0913484394483126,0.0975854856724288,0.100172826375964,0.0907341900023325
"aspartic_acid_232_7.40",7.99363654050495,7.32037170788277,11.3184001917902,7.79802768385339,6.56217349846648,7.23336672952415,10.7010015066915,9.22104269957716
"methionine_176_7.68",0.157440249030964,0.186835600134279,0.210445628412715,0.199311071813275,0.454721045782884,0.404568114608462,0.229890100150669,0.221889781179355
"glutamine_ok_227_7.98",0.0338167287747497,0.0470534978586615,0.0582878304675203,0.0522917230693018,0.248829823937062,0.165641070655645,0.0952627847203758,0.118356416160844
"glutamic_acid_246_8.23",15.1399152935542,12.5689246513331,25.4099421790274,22.4729526563481,11.0973548451945,12.8903222681966,9.78511920588496,8.03574929892159
"pyroglutamic_acid_156_8.20",36.0280638740478,34.5523076610073,38.0918385050455,36.6478747487083,37.469686803022,40.4717095923748,34.8434547549411,27.8896724442426
"glutaric_acid_2oxo_198_8.48",0.0148999536060103,0.0153301526911691,0.010617861097179,0.0141299401508038,0.0137623028086942,0.0112477563510777,0.0132544536027652,0.00915830253966639
"phenylalanine_192_8.60",1.26916595579102,1.74503321363539,1.75511414358402,1.48863786916125,2.07406542119547,1.96662600604764,2.77294159354782,2.81787745552822
"asparagine_116_8.91",0.102455888295245,0.0905160574957021,0.115503149713103,0.0962022545693335,0.281092182436085,0.164309258816443,0.270499867056634,0.240448409573601
"ornithine2_142_9.25",0.159966476600967,0.109935607255119,0.130814824628643,0.0914673133528798,0.12264912104361,0.15722644130796,0.080519365416999,0.0715757646972166
"citric_acids",2.0826291922956,1.28804817757342,1.78217297082454,1.47078103488995,4.50229960310453,3.78494265641979,3.53359478862005,3.38917524417171
"Isocitric_acid",0.0885556503389754,0.644512375003815,0.805090012081523,0.778753823378628,1.62526113331178,1.74803936109354,1.73570858814145,2.0795941023478
"lysine_156_9.99",1.07947739415436,0.844587652462285,0.891490254342882,0.894011048196172,0.74729358583238,0.908525714562454,0.83704245324825,0.919516725038715
"insitol._myo_305_10.62",2.15476436342956,1.52532984751228,2.69824896770795,1.98295536367459,5.38145702200719,4.85385483856322,4.31426039173979,3.85169232172264
"tyrosine_218",3.34055882308924,3.62215293531225,3.85226473362291,3.55177617898308,8.13430334114809,7.30300232764387,5.89602056190729,5.33001282022052
"histidine_154_11.00",0.0130262350529041,0.00796008260175173,0.00994280991631258,0.0122060102647996,0.0288285743004072,0.016375231932005,0.0131436674643269,0.0107261927101876
"tryptophan_202_12.84",0.60069142010506,0.599498489364516,0.699864043430396,0.621365990219063,0.860266172607421,0.892592402013457,0.74800584950811,0.664196158142945
"adenosine-5-monophosphate_3e_5",2.07825319145752,1.9773150361637,2.7536662534344,2.23807192272023,2.83393687161613,2.82543276317661,2.56420721439334,2.51013954924034
"cholesterol_129_18.01",0.000981756685972553,0.000890105083262973,0.000681360070407207,0.00156103293145856,0.000603085515896193,0.00528487152556019,0.000713462731543029,0.0228484039614657
