"","log2FoldChange"
"Kynu",5.17076279129163
"Tdo2",2.35933302153293
"Ido2",1.06493692221219
"Ido1",0.628064679715139
"Qprt",0.421804016577339
"Got2",0.350151166920903
"Cyp2d22",0.286705988173799
"Il4i1",0.156218706920584
"Afmid",0.124882839541298
"Kmo",0.0665872294672879
"Kyat1",-0.243767334812655
"Kyat3",-0.254879126202192
"Tph2",-0.369001022470334
