"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"3-phospho-serine","-0.3983352","-0.4768826","-0.3622042","-0.1959275","-0.3042994","-0.2249078"
"6-phospho-D-gluconate","-0.8385450","-0.9219956","-0.8124088","-0.7169644","-0.7108332","-0.6375708"
"hypoxanthine","-1.309937","-1.505387","-1.069100","-1.010606","-1.020657","-1.391938"
"creatine","2.089146","2.111682","2.102506","2.270067","2.271583","2.252743"
"Carbamoyl phosphate","-0.4471485","-0.4125124","-0.4220696","-0.2195779","-0.3248696","-0.2588125"
"N-acetyl-glucosamine-1-phosphate","0.06954608","0.07593772","0.03792200","0.24754744","0.17056839","0.21053149"
"1-Methyladenosine","-1.672133","-1.912025","-1.904163","-1.765784","-1.735708","-1.823625"
"O-acetyl-L-serine","-1.1438649","-1.1599173","-1.1326284","-0.8831346","-0.9768569","-1.2716007"
"D-glucono-?-lactone-6-phosphate","-1.1687389","-0.9765670","-1.1561095","-1.0467155","-0.9424416","-0.8764872"
"UDP-D-glucuronate","0.16287292","0.10497109","0.08711843","0.33284215","0.19403829","0.22043979"
"D-erythrose-4-phosphate","-0.4698959","-0.3932693","-0.5195583","-0.3391210","-0.2822066","-0.3538360"
"UDP-N-acetyl-glucosamine","0.5287098","0.6173594","0.5486343","0.7311040","0.6350236","0.7215197"
"Nicotinamide ribotide"," 8.148330e-08","-6.825468e-02","-2.444931e-01"," 2.421074e-01","-1.541224e-01","-9.529462e-02"
"2,3-dihydroxybenzoic acid","-0.8109184","-1.0851319","-1.1695896","-0.7080350","-1.1037414","-0.8606680"
"D-sedoheptulose-1-7-phosphate","0.2062836","0.2677361","0.2911152","0.4210940","0.3283922","0.3882089"
"glycine","-1.328866","-1.409974","-1.327116","-1.083447","-1.520593","-1.210116"
"4-aminobutyrate","0.8095221","0.8636979","0.7028658","0.9390541","0.9111494","0.8741925"
"orotidine-5-phosphate","-0.5119753","-0.4724520","-0.4691769","-0.4406655","-0.3986534","-0.2897641"
"riboflavin","-0.8986845","-0.8203114","-0.8573998","-0.8396615","-0.6518615","-0.7835668"
"histidinol","-1.681298","-1.817328","-1.562413","-1.749864","-1.417295","-1.615143"
